Pnt,Average, Average (uV),Buffer1,Buffer1 (uV),Buffer2,Buffer2 (uV)
9.35,-446819,-3.329,-320857,-4.781,-125962,-1.877
9.40,-460006,-3.427,-332106,-4.949,-127900,-1.906
9.45,-472732,-3.522,-343403,-5.117,-129329,-1.927
9.50,-476595,-3.551,-347670,-5.181,-128925,-1.921
9.55,-460149,-3.428,-338151,-5.039,-121998,-1.818
9.60,-465094,-3.465,-340867,-5.079,-124227,-1.851
9.65,-452778,-3.374,-337539,-5.030,-115239,-1.717
9.70,-429538,-3.200,-327912,-4.886,-101626,-1.514
9.75,-430091,-3.205,-314714,-4.690,-115377,-1.719
9.80,-452585,-3.372,-323353,-4.818,-129232,-1.926
9.85,-466437,-3.475,-322840,-4.811,-143597,-2.140
9.90,-452638,-3.373,-295691,-4.406,-156947,-2.339
9.95,-443148,-3.302,-288366,-4.297,-154782,-2.307
10.00,-443572,-3.305,-275549,-4.106,-168023,-2.504
10.05,-438844,-3.270,-273912,-4.082,-164932,-2.458
10.10,-422218,-3.146,-265975,-3.963,-156243,-2.328
10.15,-424063,-3.160,-264349,-3.939,-159714,-2.380
10.20,-432650,-3.224,-273615,-4.077,-159035,-2.370
10.25,-448368,-3.341,-284740,-4.243,-163628,-2.438
10.30,-454858,-3.389,-301891,-4.499,-152967,-2.279
10.35,-467906,-3.486,-318460,-4.746,-149446,-2.227
10.40,-465835,-3.471,-326739,-4.869,-139096,-2.073
10.45,-472533,-3.521,-311487,-4.642,-161046,-2.400
10.50,-464034,-3.457,-305524,-4.553,-158510,-2.362
10.55,-434924,-3.241,-288402,-4.298,-146522,-2.183
10.60,-433555,-3.230,-265804,-3.961,-167751,-2.500
10.65,-436090,-3.249,-274716,-4.094,-161374,-2.405
10.70,-442762,-3.299,-275857,-4.111,-166905,-2.487
10.75,-427700,-3.187,-255577,-3.809,-172123,-2.565
10.80,-411301,-3.065,-242821,-3.618,-168480,-2.511
10.85,-418339,-3.117,-231083,-3.444,-187256,-2.790
10.90,-424156,-3.160,-228664,-3.407,-195492,-2.913
10.95,-413322,-3.080,-221928,-3.307,-191394,-2.852
11.00,-402860,-3.002,-211579,-3.153,-191281,-2.850
11.05,-407171,-3.034,-211183,-3.147,-195988,-2.921
11.10,-425867,-3.173,-207589,-3.093,-218278,-3.253
11.15,-413798,-3.083,-191293,-2.851,-222505,-3.316
11.20,-391918,-2.920,-171726,-2.559,-220192,-3.281
11.25,-381712,-2.844,-153517,-2.288,-228195,-3.400
11.30,-397174,-2.959,-160150,-2.386,-237024,-3.532
11.35,-383687,-2.859,-151291,-2.254,-232396,-3.463
11.40,-374892,-2.793,-139892,-2.085,-235000,-3.502
11.45,-380434,-2.835,-138042,-2.057,-242392,-3.612
11.50,-356345,-2.655,-124651,-1.858,-231694,-3.453
11.55,-333232,-2.483,-112447,-1.676,-220785,-3.290
11.60,-327848,-2.443,-116073,-1.730,-211775,-3.156
11.65,-322111,-2.400,-111315,-1.659,-210796,-3.141
11.70,-315196,-2.348,-95892,-1.429,-219304,-3.268
11.75,-293391,-2.186,-82179,-1.225,-211212,-3.147
11.80,-296367,-2.208,-82311,-1.227,-214056,-3.190
11.85,-288057,-2.146,-75118,-1.119,-212939,-3.173
11.90,-271764,-2.025,-64924,-967,-206840,-3.082
11.95,-274942,-2.049,-61204,-912,-213738,-3.185
12.00,-296587,-2.210,-74775,-1.114,-221812,-3.305
12.05,-294852,-2.197,-72332,-1.078,-222520,-3.316
12.10,-285875,-2.130,-60429,-900,-225446,-3.360
12.15,-280026,-2.086,-63527,-947,-216499,-3.226
12.20,-286844,-2.137,-52724,-786,-234120,-3.489
12.25,-262267,-1.954,-23909,-356,-238358,-3.552
12.30,-234976,-1.751,1886,28,-236862,-3.530
12.35,-244803,-1.824,-1814,-27,-242989,-3.621
12.40,-249347,-1.858,-12112,-180,-237235,-3.535
12.45,-236516,-1.762,-13609,-203,-222907,-3.322
12.50,-233086,-1.737,-8545,-127,-224541,-3.346
12.55,-242744,-1.809,-20479,-305,-222265,-3.312
12.60,-232426,-1.732,-20878,-311,-211548,-3.152
12.65,-211695,-1.577,-21179,-316,-190516,-2.839
12.70,-206813,-1.541,-34119,-508,-172694,-2.573
12.75,-210429,-1.568,-45922,-684,-164507,-2.451
12.80,-201538,-1.502,-48294,-720,-153244,-2.284
12.85,-200296,-1.492,-55144,-822,-145152,-2.163
12.90,-193027,-1.438,-50680,-755,-142347,-2.121
12.95,-182669,-1.361,-36474,-544,-146195,-2.179
13.00,-153167,-1.141,-16094,-240,-137073,-2.043
13.05,-153769,-1.146,-14896,-222,-138873,-2.069
13.10,-148982,-1.110,-4462,-66,-144520,-2.154
