"[-0.276, 0.521, -0.871, -1.817, 3.191, -0.809],""[-1.042, -0.057, 0.101, 3.679, -2.954, -0.58]"""
"[-0.276, 0.521, -0.871, -1.817, 3.191, -0.809],""[-1.042, -0.057, 0.101, 3.679, -2.954, -0.58]"""
"[-0.276, 0.521, -0.871, -1.817, 3.191, -0.809],""[-1.042, -0.057, 0.101, 3.679, -2.954, -0.58]"""
"[-0.276, 0.521, -0.871, -1.817, 3.191, -0.809],""[-1.042, -0.057, 0.101, 3.679, -2.954, -0.58]"""
"[-0.276, 0.521, -0.871, -1.817, 3.191, -0.809],""[-1.042, -0.057, 0.101, 3.679, -2.954, -0.58]"""
"[-0.276, 0.521, -0.871, -1.817, 3.191, -0.809],""[-1.042, -0.057, 0.101, 3.679, -2.954, -0.58]"""
"[-0.159, 0.538, -0.935, -1.847, 2.237, -0.298],""[-1.042, -0.057, 0.101, 3.679, -2.954, -0.58]"""
"[-0.159, 0.538, -0.935, -1.847, 2.237, -0.298],""[-1.049, -0.054, 0.134, 3.664, -3.137, -0.733]"""
"[-0.159, 0.538, -0.935, -1.847, 2.237, -0.298],""[-1.049, -0.054, 0.134, 3.664, -3.137, -0.733]"""
"[-0.159, 0.538, -0.935, -1.847, 2.237, -0.298],""[-1.049, -0.054, 0.134, 3.664, -3.137, -0.733]"""
"[-0.159, 0.538, -0.935, -1.847, 2.237, -0.298],""[-1.049, -0.054, 0.134, 3.664, -3.137, -0.733]"""
"[-0.159, 0.538, -0.935, -1.847, 2.237, -0.298],""[-1.049, -0.054, 0.134, 3.664, -3.137, -0.733]"""
"[-0.081, 0.543, -0.85, -1.206, 0.74, 0.038],""[-1.049, -0.054, 0.134, 3.664, -3.137, -0.733]"""
"[-0.081, 0.543, -0.85, -1.206, 0.74, 0.038],""[-1.028, -0.048, 0.137, 3.733, -3.015, -0.611]"""
"[-0.081, 0.543, -0.85, -1.206, 0.74, 0.038],""[-1.028, -0.048, 0.137, 3.733, -3.015, -0.611]"""
"[-0.081, 0.543, -0.85, -1.206, 0.74, 0.038],""[-1.028, -0.048, 0.137, 3.733, -3.015, -0.611]"""
"[-0.081, 0.543, -0.85, -1.206, 0.74, 0.038],""[-1.028, -0.048, 0.137, 3.733, -3.015, -0.611]"""
"[-0.081, 0.543, -0.85, -1.206, 0.74, 0.038],""[-1.028, -0.048, 0.137, 3.733, -3.015, -0.611]"""
"[-0.081, 0.543, -0.85, -1.206, 0.74, 0.038],""[-1.028, -0.048, 0.137, 3.733, -3.015, -0.611]"""
"[-0.077, 0.55, -0.922, -1.885, -1.16, 0.336],""[-1.028, -0.048, 0.137, 3.733, -3.015, -0.611]"""
"[-0.077, 0.55, -0.922, -1.885, -1.16, 0.336],""[-1.039, -0.021, 0.146, 3.672, -3.069, -0.58]"""
"[-0.077, 0.55, -0.922, -1.885, -1.16, 0.336],""[-1.039, -0.021, 0.146, 3.672, -3.069, -0.58]"""
"[-0.077, 0.55, -0.922, -1.885, -1.16, 0.336],""[-1.039, -0.021, 0.146, 3.672, -3.069, -0.58]"""
"[-0.077, 0.55, -0.922, -1.885, -1.16, 0.336],""[-1.039, -0.021, 0.146, 3.672, -3.069, -0.58]"""
"[-0.077, 0.55, -0.922, -1.885, -1.16, 0.336],""[-1.039, -0.021, 0.146, 3.672, -3.069, -0.58]"""
"[-0.077, 0.55, -0.922, -1.885, -1.16, 0.336],""[-1.039, -0.021, 0.146, 3.672, -3.069, -0.58]"""
"[-0.123, 0.522, -1.142, -1.458, -0.435, 0.565],""[-1.039, -0.021, 0.146, 3.672, -3.069, -0.58]"""
"[-0.123, 0.522, -1.142, -1.458, -0.435, 0.565],""[-1.041, -0.075, 0.157, 3.588, -3.099, -0.634]"""
"[-0.123, 0.522, -1.142, -1.458, -0.435, 0.565],""[-1.041, -0.075, 0.157, 3.588, -3.099, -0.634]"""
"[-0.123, 0.522, -1.142, -1.458, -0.435, 0.565],""[-1.041, -0.075, 0.157, 3.588, -3.099, -0.634]"""
"[-0.123, 0.522, -1.142, -1.458, -0.435, 0.565],""[-1.041, -0.075, 0.157, 3.588, -3.099, -0.634]"""
"[-0.123, 0.522, -1.142, -1.458, -0.435, 0.565],""[-1.041, -0.075, 0.157, 3.588, -3.099, -0.634]"""
"[-0.123, 0.522, -1.142, -1.458, -0.435, 0.565],""[-1.041, -0.075, 0.157, 3.588, -3.099, -0.634]"""
"[-0.123, 0.522, -1.142, -1.458, -0.435, 0.565],""[-1.041, -0.075, 0.157, 3.588, -3.099, -0.634]"""
"[-0.097, 0.509, -0.953, -1.763, -0.023, 0.756],""[-1.061, -0.069, 0.139, 3.763, -2.954, -0.71]"""
"[-0.097, 0.509, -0.953, -1.763, -0.023, 0.756],""[-1.061, -0.069, 0.139, 3.763, -2.954, -0.71]"""
"[-0.097, 0.509, -0.953, -1.763, -0.023, 0.756],""[-1.061, -0.069, 0.139, 3.763, -2.954, -0.71]"""
"[-0.097, 0.509, -0.953, -1.763, -0.023, 0.756],""[-1.061, -0.069, 0.139, 3.763, -2.954, -0.71]"""
"[-0.097, 0.509, -0.953, -1.763, -0.023, 0.756],""[-1.061, -0.069, 0.139, 3.763, -2.954, -0.71]"""
"[-0.097, 0.509, -0.953, -1.763, -0.023, 0.756],""[-1.061, -0.069, 0.139, 3.763, -2.954, -0.71]"""
"[-0.097, 0.509, -0.953, -1.763, -0.023, 0.756],""[-1.061, -0.069, 0.139, 3.763, -2.954, -0.71]"""
"[-0.104, 0.506, -0.991, -1.58, -0.626, 0.244],""[-1.061, -0.069, 0.139, 3.763, -2.954, -0.71]"""
"[-0.104, 0.506, -0.991, -1.58, -0.626, 0.244],""[-1.007, -0.072, 0.14, 3.71, -3.023, -0.618]"""
"[-0.104, 0.506, -0.991, -1.58, -0.626, 0.244],""[-1.007, -0.072, 0.14, 3.71, -3.023, -0.618]"""
"[-0.104, 0.506, -0.991, -1.58, -0.626, 0.244],""[-1.007, -0.072, 0.14, 3.71, -3.023, -0.618]"""
"[-0.104, 0.506, -0.991, -1.58, -0.626, 0.244],""[-1.007, -0.072, 0.14, 3.71, -3.023, -0.618]"""
"[-0.104, 0.506, -0.991, -1.58, -0.626, 0.244],""[-1.007, -0.072, 0.14, 3.71, -3.023, -0.618]"""
"[-0.104, 0.506, -0.991, -1.58, -0.626, 0.244],""[-1.007, -0.072, 0.14, 3.71, -3.023, -0.618]"""
"[-0.104, 0.506, -0.991, -1.58, -0.626, 0.244],""[-1.007, -0.072, 0.14, 3.71, -3.023, -0.618]"""
"[-0.14, 0.528, -1.053, -1.771, -0.588, 0.344],""[-1.02, -0.044, 0.149, 3.672, -3.099, -0.656]"""
